datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,granularity
1/6/2014,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,2014.0,1.0,276.0,Monday,daily
1/15/2014,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,2014.0,1.0,276.0,Wednesday,daily
1/18/2014,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,2014.0,1.0,276.0,Saturday,daily
1/20/2014,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,2014.0,1.0,276.0,Monday,daily
1/23/2014,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,2014.0,1.0,276.0,Thursday,daily
1/27/2014,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,2014.0,1.0,276.0,Monday,daily
1/28/2014,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,2014.0,1.0,276.0,Tuesday,daily
1/29/2014,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,2014.0,1.0,276.0,Wednesday,daily
1/30/2014,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,2014.0,1.0,276.0,Thursday,daily
2/4/2014,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2014.0,2.0,276.0,Tuesday,daily
2/5/2014,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2014.0,2.0,276.0,Wednesday,daily
2/6/2014,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014.0,2.0,276.0,Thursday,daily
2/8/2014,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014.0,2.0,276.0,Saturday,daily
2/10/2014,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014.0,2.0,276.0,Monday,daily
2/11/2014,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014.0,2.0,276.0,Tuesday,daily
2/19/2014,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014.0,2.0,276.0,Wednesday,daily
2/20/2014,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014.0,2.0,276.0,Thursday,daily
2/27/2014,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014.0,2.0,276.0,Thursday,daily
3/6/2014,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014.0,3.0,276.0,Thursday,daily
3/11/2014,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014.0,3.0,276.0,Tuesday,daily
3/12/2014,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014.0,3.0,276.0,Wednesday,daily
3/15/2014,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014.0,3.0,276.0,Saturday,daily
3/27/2014,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014.0,3.0,276.0,Thursday,daily
3/29/2014,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014.0,3.0,276.0,Saturday,daily
3/31/2014,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014.0,3.0,276.0,Monday,daily
4/1/2014,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014.0,4.0,276.0,Tuesday,daily
